ticker,gap_date,gap_pct,open,prev_close,entry,gdl,risk_pct,return_pct,won,eps,eps_yoy,rev_yoy,252d_high
APP,2024-11-07,36.5,230,168.55,245.74,228.1,7.2,36.67,True,1.25,316.7,38.6,176.99
PLTR,2024-11-05,15.6,47.86,41.41,49.46,46.86,5.3,27.99,True,0.06,100.0,30.0,45.14
AXON,2024-11-08,15.2,540,468.75,550.88,515,6.5,13.66,True,0.86,10.3,31.6,471
LIF,2025-08-12,9.2,80.51,73.74,80.78,76.69,5.1,13.47,True,0.08,153.3,36.0,78.32
SAIA,2021-10-28,8.4,296.8,273.89,306.8,292.4,4.7,12.38,True,2.98,91.0,28.0,280.05
ON,2021-11-01,11.8,53.75,48.07,54.37,51.33,5.6,11.77,True,0.7,84.2,32.2,49.78
DUOL,2023-11-09,10.6,185,167.27,193.86,184,5.1,11.4,True,0.06,113.0,43.3,179.84
RL,2024-02-08,11.2,163.57,147.14,163.95,161.32,1.6,10.11,True,4.19,30.9,5.6,148.84
LITE,2025-11-05,16.0,218.5,188.36,228.4,213,6.7,7.47,True,0.05,104.1,58.4,214.5
GRMN,2024-10-30,11.9,186.1,166.27,199,186.1,6.5,6.17,True,2.07,54.5,24.1,184.42
AXON,2024-08-07,11.9,330,295,342.12,323.88,5.3,5.31,True,0.53,231.2,34.3,329.87
SFM,2024-05-02,11.1,71.4,64.29,73.78,69.96,5.2,5.06,True,1.12,53.4,8.7,68.03
MSFT,2023-04-26,7.7,296.7,275.42,297.3,292.73,1.5,4.51,True,2.45,10.4,7.1,294.18
EFX,2021-04-22,13.1,217.9,192.63,221.59,212.69,4.0,4.49,True,1.64,72.6,26.6,194.44
ALAB,2025-08-06,21.7,164.99,135.54,176.35,160.47,9.0,3.27,True,0.29,680.0,149.7,147.39
CROX,2021-04-27,11.6,94.7,84.84,95.78,92.13,3.8,2.76,True,1.47,818.8,63.6,86.4
CELH,2023-08-09,19.6,57.17,47.79,57.68,53.52,7.2,1.18,True,0.52,333.3,111.6,52.43
EXPE,2025-11-07,12.4,247,219.7,256.09,245.77,4.0,1.12,True,7.33,45.4,8.7,240.98
AMSC,2025-07-31,8.8,47.8,43.94,52.58,47.7,9.3,1.09,True,0.17,342.9,79.6,44.85
LW,2023-01-05,8.4,94.87,87.48,95.91,93.52,2.5,0.4,True,0.71,222.7,26.8,90.6
DKS,2021-05-26,10.5,92.98,84.17,94.99,91.37,3.8,0.27,True,3.41,299.4,118.9,91.8
WAT,2024-11-01,16.1,375,323.11,383,372.15,2.8,0.13,True,2.71,19.4,4.0,367.21
FSS,2025-07-30,12.0,117.5,104.86,125.67,116.44,7.3,-0.08,False,1.16,17.2,15.1,114.4
GWRE,2025-06-04,13.2,246.95,218.18,252.56,238.6,5.5,-0.24,False,0.54,871.4,22.0,219.59
WDFC,2024-01-10,8.6,256.9,236.61,271.7,252.86,6.9,-0.6,False,1.28,25.5,12.4,245.76
BAH,2024-10-25,8.7,181.01,166.55,185.34,176.59,4.7,-0.73,False,3.01,133.3,18.0,167.09
BWXT,2025-08-05,13.9,176.04,154.51,185.43,173.5,6.4,-1.06,False,0.85,7.6,12.1,154.78
AEIS,2025-11-05,13.6,221.56,195.05,230.46,205.78,10.7,-2.56,False,1.2,400.0,23.8,213.63
TSN,2022-02-07,10.3,97.4,88.29,98.27,95.52,2.8,-2.8,False,3.07,139.8,23.6,94.08
NTAP,2024-03-01,18.8,105.88,89.12,110.84,105.02,5.3,-5.26,False,1.48,393.3,5.2,91.78
APP,2024-05-09,12.5,83.27,74,85.4,80.67,5.5,-5.54,False,0.67,6800.0,47.9,79.55
